,congress_numbers,current,description,enddate,party,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website,extra.address,extra.contact_form,extra.fax,extra.office,person.bioguideid,person.birthday,person.cspanid,person.firstname,person.gender,person.gender_label,person.lastname,person.link,person.middlename,person.name,person.namemod,person.nickname,person.osid,person.pvsid,person.sortname,person.twitterid,person.youtubeid,leadership_title,extra.rss_url,caucus,extra.how,age
41,"[116, 117, 118]",True,Senior Senator for Mississippi,2025-01-03,Republican,202-224-6253,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MS,Sen.,Senator,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,https://www.wicker.senate.gov/public/index.cfm/contact,,555 Dirksen Senate Office Building,W000437,1951-07-05,18203.0,Roger,male,Male,Wicker,https://www.govtrack.us/congress/members/roger_wicker/400432,F.,Sen. Roger Wicker [R-MS],,,N00003280,21926,"Wicker, Roger (Sen.) [R-MS]",SenatorWicker,SenatorWicker,,,,,70.56438356164384
42,"[116, 117, 118]",True,Junior Senator for Connecticut,2025-01-03,Democrat,202-224-4041,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,CT,Sen.,Senator,https://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,https://www.murphy.senate.gov/contact,,136 Hart Senate Office Building,M001169,1973-08-03,1021270.0,Christopher,male,Male,Murphy,https://www.govtrack.us/congress/members/christopher_murphy/412194,S.,Sen. Christopher Murphy [D-CT],,,N00027566,17189,"Murphy, Christopher (Sen.) [D-CT]",senmurphyoffice,senchrismurphy,,http://www.theday.com/article/20121216/nws12/312169935/1069/rss,,,48.46849315068493
43,"[116, 117, 118]",True,Junior Senator for Hawaii,2025-01-03,Democrat,202-224-6361,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,HI,Sen.,Senator,https://www.hirono.senate.gov,109 Hart Senate Office Building Washington DC 20510,https://www.hirono.senate.gov/contact,,109 Hart Senate Office Building,H001042,1947-11-03,91216.0,Mazie,female,Female,Hirono,https://www.govtrack.us/congress/members/mazie_hirono/412200,K.,Sen. Mazie Hirono [D-HI],,,N00028139,1677,"Hirono, Mazie (Sen.) [D-HI]",MazieHirono,CongresswomanHirono,,http://www.hirono.senate.gov/rss/feeds/?type=all,,,74.23561643835616
44,"[116, 117, 118]",True,Junior Senator for New York,2025-01-03,Democrat,202-224-4451,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,NY,Sen.,Senator,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,https://www.gillibrand.senate.gov/contact/email-me,,478 Russell Senate Office Building,G000555,1966-12-09,1022862.0,Kirsten,female,Female,Gillibrand,https://www.govtrack.us/congress/members/kirsten_gillibrand/412223,E.,Sen. Kirsten Gillibrand [D-NY],,,N00027658,65147,"Gillibrand, Kirsten (Sen.) [D-NY]",GillibrandNY,KirstenEGillibrand,,http://www.gillibrand.senate.gov/rss/,,,55.12328767123287
45,"[116, 117, 118]",True,Senior Senator for Minnesota,2025-01-03,Democrat,202-224-3244,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MN,Sen.,Senator,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,https://www.klobuchar.senate.gov/public/index.cfm/contact,,425 Dirksen Senate Office Building,K000367,1960-05-25,83701.0,Amy,female,Female,Klobuchar,https://www.govtrack.us/congress/members/amy_klobuchar/412242,Jean,Sen. Amy Klobuchar [D-MN],,,N00027500,65092,"Klobuchar, Amy (Sen.) [D-MN]",SenAmyKlobuchar,senatorklobuchar,Senate Democratic Steering Committee Chair,,,,61.66849315068493
46,"[116, 117, 118]",True,Senior Senator for Montana,2025-01-03,Democrat,202-224-2644,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MT,Sen.,Senator,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,https://www.tester.senate.gov/?p=email_senator,,311 Hart Senate Office Building,T000464,1956-08-21,1020176.0,Jon,male,Male,Tester,https://www.govtrack.us/congress/members/jon_tester/412244,,Sen. Jon Tester [D-MT],,,N00027605,20928,"Tester, Jon (Sen.) [D-MT]",SenatorTester,senatorjontester,,http://www.tester.senate.gov/rss/?p=hot_topic,,,65.43013698630136
47,"[116, 117, 118]",True,Senior Senator for Pennsylvania,2025-01-03,Democrat,202-224-6324,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,PA,Sen.,Senator,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,https://www.casey.senate.gov/contact,,393 Russell Senate Office Building,C001070,1960-04-13,47036.0,Robert,male,Male,Casey,https://www.govtrack.us/congress/members/robert_casey/412246,P.,Sen. Robert “Bob” Casey [D-PA],Jr.,Bob,N00027503,2541,"Casey, Robert “Bob” (Sen.) [D-PA]",SenBobCasey,SenatorBobCasey,,http://www.casey.senate.gov/rss/feeds/?all,,,61.78356164383562
48,"[116, 117, 118]",True,Junior Senator for Rhode Island,2025-01-03,Democrat,202-224-2921,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,RI,Sen.,Senator,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,https://www.whitehouse.senate.gov/contact/email-sheldon,,530 Hart Senate Office Building,W000802,1955-10-20,92235.0,Sheldon,male,Male,Whitehouse,https://www.govtrack.us/congress/members/sheldon_whitehouse/412247,,Sen. Sheldon Whitehouse [D-RI],,,N00027533,2572,"Whitehouse, Sheldon (Sen.) [D-RI]",SenWhitehouse,SenatorWhitehouse,,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,,,66.26849315068493
49,"[116, 117, 118]",True,Senior Senator for Wyoming,2025-01-03,Republican,202-224-6441,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,WY,Sen.,Senator,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,https://www.barrasso.senate.gov/public/index.cfm/contact-form,,307 Dirksen Senate Office Building,B001261,1952-07-21,1024777.0,John,male,Male,Barrasso,https://www.govtrack.us/congress/members/john_barrasso/412251,A.,Sen. John Barrasso [R-WY],,,N00006236,52662,"Barrasso, John (Sen.) [R-WY]",SenJohnBarrasso,barrassowyo,Senate Republican Conference Chair,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,,,69.51780821917808
50,"[116, 117, 118]",True,Senior Senator for New Mexico,2025-01-03,Democrat,202-224-5521,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,NM,Sen.,Senator,https://www.heinrich.senate.gov,303 Hart Senate Office Building Washington DC 20510,https://www.heinrich.senate.gov/contact,,303 Hart Senate Office Building,H001046,1971-10-17,1030686.0,Martin,male,Male,Heinrich,https://www.govtrack.us/congress/members/martin_heinrich/412281,,Sen. Martin Heinrich [D-NM],,,N00029835,74517,"Heinrich, Martin (Sen.) [D-NM]",MartinHeinrich,SenMartinHeinrich,,,,,50.26575342465753
51,"[116, 117, 118]",True,Senior Senator for West Virginia,2025-01-03,Democrat,202-224-3954,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,WV,Sen.,Senator,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,https://www.manchin.senate.gov/public/index.cfm/contact-form,,306 Hart Senate Office Building,M001183,1947-08-24,62864.0,Joe,male,Male,Manchin,https://www.govtrack.us/congress/members/joe_manchin/412391,,Sen. Joe Manchin [D-WV],III,,N00032838,7547,"Manchin, Joe (Sen.) [D-WV]",Sen_JoeManchin,SenatorJoeManchin,,http://www.manchin.senate.gov/public/index.cfm/rss/feed,,,74.43013698630136
52,"[116, 117, 118]",True,Senior Senator for Arizona,2025-01-03,Democrat,202-224-4521,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,AZ,Sen.,Senator,https://www.sinema.senate.gov,317 Hart Senate Office Building Washington DC 20510,https://www.sinema.senate.gov/contact-kyrsten,,317 Hart Senate Office Building,S001191,1976-07-12,68489.0,Kyrsten,female,Female,Sinema,https://www.govtrack.us/congress/members/kyrsten_sinema/412509,,Sen. Kyrsten Sinema [D-AZ],,,N00033983,28338,"Sinema, Kyrsten (Sen.) [D-AZ]",SenatorSinema,repsinema,,,,,45.52602739726027
53,"[116, 117, 118]",True,Senior Senator for Massachusetts,2025-01-03,Democrat,202-224-4543,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MA,Sen.,Senator,https://www.warren.senate.gov,309 Hart Senate Office Building Washington DC 20510,https://www.warren.senate.gov/?p=email_senator,,309 Hart Senate Office Building,W000817,1949-06-22,1023023.0,Elizabeth,female,Female,Warren,https://www.govtrack.us/congress/members/elizabeth_warren/412542,,Sen. Elizabeth Warren [D-MA],,,N00033492,141272,"Warren, Elizabeth (Sen.) [D-MA]",SenWarren,senelizabethwarren,,http://www.warren.senate.gov/rss/?p=hot_topic,,,72.6
54,"[116, 117, 118]",True,Junior Senator for Maine,2025-01-03,Independent,202-224-5344,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,ME,Sen.,Senator,https://www.king.senate.gov,133 Hart Senate Office Building Washington DC 20510,https://www.king.senate.gov/contact,,133 Hart Senate Office Building,K000383,1944-03-31,37413.0,Angus,male,Male,King,https://www.govtrack.us/congress/members/angus_king/412545,S.,Sen. Angus King [I-ME],Jr.,,N00034580,22381,"King, Angus (Sen.) [I-ME]",SenAngusKing,SenatorAngusKing,,http://www.king.senate.gov/rss/feeds/?type=all,Democrat,,77.83013698630137
55,"[116, 117, 118]",True,Junior Senator for North Dakota,2025-01-03,Republican,202-224-2043,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,ND,Sen.,Senator,https://www.cramer.senate.gov,330 Hart Senate Office Building Washington DC 20510,https://www.cramer.senate.gov/contact/contact-kevin,,330 Hart Senate Office Building,C001096,1961-01-21,7600.0,Kevin,male,Male,Cramer,https://www.govtrack.us/congress/members/kevin_cramer/412555,,Sen. Kevin Cramer [R-ND],,,N00004614,444,"Cramer, Kevin (Sen.) [R-ND]",SenKevinCramer,kevincramer,,,,,61.00821917808219
56,"[116, 117, 118]",True,Senior Senator for Nebraska,2025-01-03,Republican,202-224-6551,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,NE,Sen.,Senator,https://www.fischer.senate.gov,454 Russell Senate Office Building Washington DC 20510,https://www.fischer.senate.gov/public/index.cfm/contact,,454 Russell Senate Office Building,F000463,1951-03-01,1034067.0,Deb,female,Female,Fischer,https://www.govtrack.us/congress/members/deb_fischer/412556,,Sen. Deb Fischer [R-NE],,,N00033443,41963,"Fischer, Deb (Sen.) [R-NE]",SenatorFischer,senatordebfischer,,http://www.fischer.senate.gov/public/index.cfm/rss/feed,,,70.90958904109588
57,"[116, 117, 118]",True,Junior Senator for Texas,2025-01-03,Republican,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,TX,Sen.,Senator,https://www.cruz.senate.gov,127A Russell Senate Office Building Washington DC 20510,https://www.cruz.senate.gov/?p=form&id=16,,127a Russell Senate Office Building,C001098,1970-12-22,1019953.0,Ted,male,Male,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,135705,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz,,,,,51.084931506849315
58,"[116, 117, 118]",True,Junior Senator for Virginia,2025-01-03,Democrat,202-224-4024,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,VA,Sen.,Senator,https://www.kaine.senate.gov,231 Russell Senate Office Building Washington DC 20510,https://www.kaine.senate.gov/contact,,231 Russell Senate Office Building,K000384,1958-02-26,49219.0,Timothy,male,Male,Kaine,https://www.govtrack.us/congress/members/timothy_kaine/412582,,Sen. Timothy “Tim” Kaine [D-VA],,Tim,N00033177,50772,"Kaine, Timothy “Tim” (Sen.) [D-VA]",,SenatorTimKaine,,http://www.kaine.senate.gov/rss/feeds/?type=all,,,63.912328767123284
59,"[116, 117, 118]",True,Junior Senator for Nevada,2025-01-03,Democrat,202-224-6244,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,NV,Sen.,Senator,https://www.rosen.senate.gov,713 Hart Senate Office Building Washington DC 20510,https://www.rosen.senate.gov/contact_jacky,,713 Hart Senate Office Building,R000608,1957-08-02,104738.0,Jacky,female,Female,Rosen,https://www.govtrack.us/congress/members/jacky_rosen/412715,,Sen. Jacky Rosen [D-NV],,,N00038734,169471,"Rosen, Jacky (Sen.) [D-NV]",SenJackyRosen,,,,,,64.48219178082192
60,"[116, 117, 118]",True,Junior Senator for Florida,2025-01-03,Republican,202-224-5274,senator,Senator,class1,Class 1,junior,Junior,2019-01-08,FL,Sen.,Senator,https://www.rickscott.senate.gov,502 Hart Senate Office Building Washington DC 20510,https://www.rickscott.senate.gov/contact_rick,,502 Hart Senate Office Building,S001217,1952-12-01,,Rick,male,Male,Scott,https://www.govtrack.us/congress/members/rick_scott/412838,,Sen. Rick Scott [R-FL],,,N00043290,124204,"Scott, Rick (Sen.) [R-FL]",SenRickScott,,,,,,69.15342465753425
61,"[116, 117, 118]",True,Junior Senator for Indiana,2025-01-03,Republican,202-224-4814,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,IN,Sen.,Senator,https://www.braun.senate.gov,404 Russell Senate Office Building Washington DC 20510,https://www.braun.senate.gov/contact-mike,,404 Russell Senate Office Building,B001310,1954-03-24,,Mike,male,Male,Braun,https://www.govtrack.us/congress/members/mike_braun/412839,,Sen. Mike Braun [R-IN],,,N00041731,148564,"Braun, Mike (Sen.) [R-IN]",SenatorBraun,,,,,,67.84383561643835
62,"[116, 117, 118]",True,Junior Senator for Missouri,2025-01-03,Republican,202-224-6154,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,MO,Sen.,Senator,https://www.hawley.senate.gov,115 Russell Senate Office Building Washington DC 20510,https://www.hawley.senate.gov/contact-senator-hawley,,115 Russell Senate Office Building,H001089,1979-12-31,,Joshua,male,Male,Hawley,https://www.govtrack.us/congress/members/joshua_hawley/412840,,Sen. Joshua “Josh” Hawley [R-MO],,Josh,N00041620,169716,"Hawley, Joshua “Josh” (Sen.) [R-MO]",SenHawleyPress,,,,,,42.054794520547944
63,"[116, 117, 118]",True,Junior Senator for Utah,2025-01-03,Republican,202-224-5251,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,UT,Sen.,Senator,https://www.romney.senate.gov,354 Russell Senate Office Building Washington DC 20510,https://www.romney.senate.gov/contact-senator-romney,,354 Russell Senate Office Building,R000615,1947-03-12,,Mitt,male,Male,Romney,https://www.govtrack.us/congress/members/mitt_romney/412841,,Sen. Mitt Romney [R-UT],,,N00000286,21942,"Romney, Mitt (Sen.) [R-UT]",SenatorRomney,,,,,,74.88219178082191
64,"[116, 117]",True,Junior Senator for Arizona,2023-01-03,Democrat,202-224-2235,senator,Senator,class3,Class 3,junior,Junior,2020-12-02,AZ,Sen.,Senator,https://www.kelly.senate.gov,516 Hart Senate Office Building Washington DC 20510,https://www.kelly.senate.gov,,516 Hart Senate Office Building,K000377,1964-02-21,,Mark,male,Male,Kelly,https://www.govtrack.us/congress/members/mark_kelly/456794,,Sen. Mark Kelly [D-AZ],,,N00044223,,"Kelly, Mark (Sen.) [D-AZ]",SenMarkKelly,,,,,special-election,57.92328767123288
65,"[117, 118, 119]",True,Senior Senator for Maine,2027-01-03,Republican,202-224-2523,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,ME,Sen.,Senator,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,https://www.collins.senate.gov/contact,,413 Dirksen Senate Office Building,C001035,1952-12-07,45738.0,Susan,female,Female,Collins,https://www.govtrack.us/congress/members/susan_collins/300025,M.,Sen. Susan Collins [R-ME],,,N00000491,379,"Collins, Susan (Sen.) [R-ME]",SenatorCollins,SenatorSusanCollins,,http://www.collins.senate.gov/public/?a=rss.feed,,,69.13698630136986
66,"[117, 118, 119]",True,Senior Senator for Texas,2027-01-03,Republican,202-224-2934,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,TX,Sen.,Senator,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,https://www.cornyn.senate.gov/contact,,517 Hart Senate Office Building,C001056,1952-02-02,93131.0,John,male,Male,Cornyn,https://www.govtrack.us/congress/members/john_cornyn/300027,,Sen. John Cornyn [R-TX],,,N00024852,15375,"Cornyn, John (Sen.) [R-TX]",JohnCornyn,senjohncornyn,,http://www.cornyn.senate.gov/public/?a=rss.feed,,,69.98356164383561
67,"[117, 118, 119]",True,Senior Senator for Illinois,2027-01-03,Democrat,202-224-2152,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,IL,Sen.,Senator,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,https://www.durbin.senate.gov/contact/,,711 Hart Senate Office Building,D000563,1944-11-21,6741.0,Richard,male,Male,Durbin,https://www.govtrack.us/congress/members/richard_durbin/300038,J.,Sen. Richard Durbin [D-IL],,,N00004981,26847,"Durbin, Richard (Sen.) [D-IL]",SenatorDurbin,SenatorDurbin,Senate Majority Whip,http://durbin.senate.gov/public/index.cfm/rss/feed,,,77.18630136986302
68,"[117, 118, 119]",True,Senior Senator for South Carolina,2027-01-03,Republican,202-224-5972,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,SC,Sen.,Senator,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,,290 Russell Senate Office Building,G000359,1955-07-09,36782.0,Lindsey,male,Male,Graham,https://www.govtrack.us/congress/members/lindsey_graham/300047,O.,Sen. Lindsey Graham [R-SC],,,N00009975,21992,"Graham, Lindsey (Sen.) [R-SC]",GrahamBlog,USSenLindseyGraham,,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,,,66.55068493150685
69,"[117, 118, 119]",True,Senior Senator for Oklahoma,2027-01-03,Republican,202-224-4721,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,OK,Sen.,Senator,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,https://www.inhofe.senate.gov/contact,,205 Russell Senate Office Building,I000024,1934-11-17,5619.0,James,male,Male,Inhofe,https://www.govtrack.us/congress/members/james_inhofe/300055,M.,Sen. James “Jim” Inhofe [R-OK],,Jim,N00005582,27027,"Inhofe, James “Jim” (Sen.) [R-OK]",InhofePress,jiminhofepressoffice,,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,,,87.20547945205479
70,"[117, 118, 119]",True,Senior Senator for Kentucky,2027-01-03,Republican,202-224-2541,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,KY,Sen.,Senator,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,,317 Russell Senate Office Building,M000355,1942-02-20,2351.0,Mitch,male,Male,McConnell,https://www.govtrack.us/congress/members/mitch_mcconnell/300072,,Sen. Mitch McConnell [R-KY],,,N00003389,53298,"McConnell, Mitch (Sen.) [R-KY]",McConnellPress,,Senate Minority Leader,http://www.mcconnell.senate.gov/public/?a=rss.feed,,,79.93972602739726
71,"[117, 118, 119]",True,Junior Senator for Oregon,2027-01-03,Democrat,202-224-3753,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,OR,Sen.,Senator,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,https://www.merkley.senate.gov/contact/,,531 Hart Senate Office Building,M001176,1956-10-24,1029842.0,Jeff,male,Male,Merkley,https://www.govtrack.us/congress/members/jeff_merkley/412325,,Sen. Jeff Merkley [D-OR],,,N00029303,23644,"Merkley, Jeff (Sen.) [D-OR]",SenJeffMerkley,SenatorJeffMerkley,,http://www.merkley.senate.gov/rss/,,,65.25479452054795
72,"[117, 118, 119]",True,Senior Senator for Rhode Island,2027-01-03,Democrat,202-224-4642,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,RI,Sen.,Senator,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,https://www.reed.senate.gov/contact/,,728 Hart Senate Office Building,R000122,1949-11-12,24239.0,John,male,Male,Reed,https://www.govtrack.us/congress/members/john_reed/300081,F.,Sen. John “Jack” Reed [D-RI],,Jack,N00000362,27060,"Reed, John “Jack” (Sen.) [D-RI]",SenJackReed,SenatorReed,,https://www.reed.senate.gov//rss/feeds/?type=all,,,72.20821917808219
73,"[117, 118, 119]",True,Junior Senator for Idaho,2027-01-03,Republican,202-224-2752,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,ID,Sen.,Senator,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,https://www.risch.senate.gov/public/index.cfm?p=Email,,483 Russell Senate Office Building,R000584,1943-05-03,1020034.0,James,male,Male,Risch,https://www.govtrack.us/congress/members/james_risch/412322,E.,Sen. James Risch [R-ID],,,N00029441,2919,"Risch, James (Sen.) [R-ID]",SenatorRisch,SenatorJamesRisch,,,,,78.74246575342465
74,"[117, 118, 119]",True,Senior Senator for New Hampshire,2027-01-03,Democrat,202-224-2841,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,NH,Sen.,Senator,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,https://www.shaheen.senate.gov/contact/contact-jeanne,,506 Hart Senate Office Building,S001181,1947-01-28,22850.0,Jeanne,female,Female,Shaheen,https://www.govtrack.us/congress/members/jeanne_shaheen/412323,,Sen. Jeanne Shaheen [D-NH],,,N00024790,1663,"Shaheen, Jeanne (Sen.) [D-NH]",SenatorShaheen,senatorshaheen,,http://www.shaheen.senate.gov/rss/,,,75.0
75,"[117, 118, 119]",True,Senior Senator for Virginia,2027-01-03,Democrat,202-224-2023,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,VA,Sen.,Senator,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,https://www.warner.senate.gov/public/index.cfm?p=Contact,,703 Hart Senate Office Building,W000805,1954-12-15,7630.0,Mark,male,Male,Warner,https://www.govtrack.us/congress/members/mark_warner/412321,R.,Sen. Mark Warner [D-VA],,,N00002097,535,"Warner, Mark (Sen.) [D-VA]",MarkWarner,SenatorMarkWarner,,http://www.warner.senate.gov/public/?a=rss.feed,,,67.11506849315069
76,"[117, 118, 119]",True,Junior Senator for Delaware,2027-01-03,Democrat,202-224-5042,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,DE,Sen.,Senator,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,https://www.coons.senate.gov/contact,,218 Russell Senate Office Building,C001088,1963-09-09,9269028.0,Christopher,male,Male,Coons,https://www.govtrack.us/congress/members/christopher_coons/412390,Andrew,Sen. Christopher Coons [D-DE],,,N00031820,122834,"Coons, Christopher (Sen.) [D-DE]",ChrisCoons,senatorchriscoons,,http://www.coons.senate.gov/rss/feeds/?type=all,,,58.37534246575343
77,"[117, 118, 119]",True,Junior Senator for West Virginia,2027-01-03,Republican,202-224-6472,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,WV,Sen.,Senator,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,https://www.capito.senate.gov/contact/contact-shelley,,172 Russell Senate Office Building,C001047,1953-11-26,83737.0,Shelley,female,Female,Capito,https://www.govtrack.us/congress/members/shelley_capito/400061,Moore,Sen. Shelley Capito [R-WV],,,N00009771,11701,"Capito, Shelley (Sen.) [R-WV]",SenCapito,,,,,,68.16712328767123
78,"[117, 118, 119]",True,Senior Senator for Louisiana,2027-01-03,Republican,202-224-5824,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,LA,Sen.,Senator,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,https://www.cassidy.senate.gov/contact,,520 Hart Senate Office Building,C001075,1957-09-28,1030546.0,Bill,male,Male,Cassidy,https://www.govtrack.us/congress/members/bill_cassidy/412269,,Sen. Bill Cassidy [R-LA],,,N00030245,69494,"Cassidy, Bill (Sen.) [R-LA]",SenBillCassidy,SenatorBillCassidy,,,,,64.32602739726028
79,"[117, 118, 119]",True,Junior Senator for New Mexico,2027-01-03,Democrat,202-224-6621,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,NM,Sen.,Senator,https://www.lujan.senate.gov,498 Russell Senate Office Building Washington DC 20510,https://www.lujan.senate.gov,,498 Russell Senate Office Building,L000570,1972-06-07,1031351.0,Ben,male,Male,Luján,https://www.govtrack.us/congress/members/ben_lujan/412293,Ray,Sen. Ben Luján [D-NM],,,N00029562,102842,"Luján, Ben (Sen.) [D-NM]",SenatorLujan,,,,,,49.62465753424657
80,"[117, 118, 119]",True,Junior Senator for Massachusetts,2027-01-03,Democrat,202-224-2742,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,MA,Sen.,Senator,https://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,https://www.markey.senate.gov/contact,,255 Dirksen Senate Office Building,M000133,1946-07-11,260.0,Edward,male,Male,Markey,https://www.govtrack.us/congress/members/edward_markey/400253,J.,Sen. Edward “Ed” Markey [D-MA],,Ed,N00000270,26900,"Markey, Edward “Ed” (Sen.) [D-MA]",SenMarkey,RepMarkey,,,,,75.55068493150685
81,"[117, 118, 119]",True,Junior Senator for Michigan,2027-01-03,Democrat,202-224-6221,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,MI,Sen.,Senator,https://www.peters.senate.gov,724 Hart Senate Office Building Washington DC 20510,https://www.peters.senate.gov/contact/email-gary,,724 Hart Senate Office Building,P000595,1958-12-01,50199.0,Gary,male,Male,Peters,https://www.govtrack.us/congress/members/gary_peters/412305,C.,Sen. Gary Peters [D-MI],,,N00029277,8749,"Peters, Gary (Sen.) [D-MI]",SenGaryPeters,RepGaryPeters,,,,,63.15068493150685
82,"[117, 118, 119]",True,Junior Senator for Arkansas,2027-01-03,Republican,202-224-2353,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,AR,Sen.,Senator,https://www.cotton.senate.gov,326 Russell Senate Office Building Washington DC 20510,https://www.cotton.senate.gov/contact/contact-tom,,326 Russell Senate Office Building,C001095,1977-05-13,63928.0,Tom,male,Male,Cotton,https://www.govtrack.us/congress/members/tom_cotton/412508,,Sen. Tom Cotton [R-AR],,,N00033363,135651,"Cotton, Tom (Sen.) [R-AR]",SenTomCotton,RepTomCotton,,,,,44.69041095890411
83,"[117, 118, 119]",True,Junior Senator for Montana,2027-01-03,Republican,202-224-2651,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,MT,Sen.,Senator,https://www.daines.senate.gov,320 Hart Senate Office Building Washington DC 20510,https://www.daines.senate.gov/connect/email-steve,,320 Hart Senate Office Building,D000618,1962-08-20,1034037.0,Steve,male,Male,Daines,https://www.govtrack.us/congress/members/steve_daines/412549,,Sen. Steve Daines [R-MT],,,N00033054,135720,"Daines, Steve (Sen.) [R-MT]",SteveDaines,SteveDainesMT,,,,,59.43013698630137
84,"[117, 118, 119]",True,Junior Senator for New Jersey,2027-01-03,Democrat,202-224-3224,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,NJ,Sen.,Senator,https://www.booker.senate.gov,717 Hart Senate Office Building Washington DC 20510,https://www.booker.senate.gov/?p=contact,,717 Hart Senate Office Building,B001288,1969-04-27,84679.0,Cory,male,Male,Booker,https://www.govtrack.us/congress/members/cory_booker/412598,Anthony,Sen. Cory Booker [D-NJ],,,N00035267,76151,"Booker, Cory (Sen.) [D-NJ]",SenBooker,SenCoryBooker,,,,,52.73972602739726
